;Estación:VILLAMARIADELTRIUNFO;;;;;
;Departamento:LIMA;Provincia:LIMA;Distrito:VILLA;MARIADELTRIUNFO;;
;Latitud:12Â°9'59'';Longitud:76Â°55'12'';Altitud:292;msnm.;;
;Tipo:EAA;#¿NOMBRE?;Código:112233;;;
AÑO / MES / DÍA;HORA;TEMPERATURA (°C);PRECIPITACIÓN (mm/hora);HUMEDAD (%);DIRECCION DEL VIENTO (°);VELOCIDAD DEL VIENTO (m/s)
23/01/2020;21:00;23.3;0;91.1;181.9;1.8
23/01/2020;22:00;22.8;0;94.7;192.3;1.2
23/01/2020;23:00;23;0;91.1;194.8;1
24/01/2020;00:00;23.4;0;88.4;199;0.5
24/01/2020;01:00;24.4;0;79.57;190.8;0.9
24/01/2020;02:00;24.2;0;80.2;143.6;0.7
24/01/2020;03:00;24.1;0;80.8;145.5;0.5
24/01/2020;04:00;23.9;0;84;197.1;0.6
24/01/2020;05:00;22.7;0;96.5;176.5;1.4
24/01/2020;06:00;21.9;0;99.4;162.6;0.9
24/01/2020;07:00;22.3;0;99.4;189;0.7
24/01/2020;08:00;23.3;0;91.3;0;0
24/01/2020;09:00;24.6;0;81.8;177.5;0.6
24/01/2020;10:00;27.9;0;62.08;216.5;1.1
24/01/2020;11:00;28.8;0;58.28;227.5;1.9
24/01/2020;12:00;28;0;68.37;241.1;1.5
24/01/2020;13:00;28.3;0;64.73;286.2;2.1
24/01/2020;14:00;28.2;0;63.42;292;2.1
24/01/2020;15:00;28.8;0;56.79;262.2;1.8
24/01/2020;16:00;29.2;0;54.67;221.9;2.1
24/01/2020;17:00;29;0;51.73;225.5;2.6
24/01/2020;18:00;26.7;0;66.47;233.1;2.6
24/01/2020;19:00;24.2;0;85;212.4;1.4
24/01/2020;20:00;24.8;0;78.95;136.2;0.9
24/01/2020;21:00;23.6;0;91.2;207.1;1.7
24/01/2020;22:00;23;0;93;191.4;0.9
24/01/2020;23:00;22.7;0;97.6;173.4;0.7
25/01/2020;00:00;22.8;0;95.2;160.4;0.5
25/01/2020;01:00;23.9;0;81.7;99.8;0.2
25/01/2020;02:00;23.8;0;80.9;36.86;0.1
25/01/2020;03:00;22.7;0;93.4;142.2;0.7
25/01/2020;04:00;23.5;0;81.9;49.2;0.2
25/01/2020;05:00;23.1;0;86.3;44.66;0.2
25/01/2020;06:00;22;0;99.1;158.9;0.2
25/01/2020;07:00;22.5;0;93.9;178.4;0.8
25/01/2020;08:00;23.5;0;86.8;100.8;0.2
25/01/2020;09:00;24.4;0;84.9;138.9;0.2
25/01/2020;10:00;27.1;0;71.1;267.6;0.7
25/01/2020;11:00;27.9;0;67.32;275.3;1.6
25/01/2020;12:00;28.7;0;64.07;290.1;1.8
25/01/2020;13:00;27.6;0;71.43;266.1;1.8
25/01/2020;14:00;27.4;0;69.89;294.3;2
25/01/2020;15:00;28.5;0;64.16;204.4;2
25/01/2020;16:00;25.9;0;77.35;202.5;2.5
25/01/2020;17:00;23.8;0;93.7;223;2
25/01/2020;18:00;22.1;0;99.4;227.6;1.8
25/01/2020;19:00;21.7;0;99.5;230.8;1.6
25/01/2020;20:00;21.3;0;99.5;233.2;1.7
25/01/2020;21:00;21.4;0;99.5;230.5;1.5
25/01/2020;22:00;21.2;0;99.5;235.3;1.8
25/01/2020;23:00;21.3;0;99.5;218.1;1.1
26/01/2020;00:00;21.1;0;99.5;191.8;0.9
26/01/2020;01:00;21.2;0;99.5;228.1;0.7
26/01/2020;02:00;20.9;0;99.5;182.8;0.9
26/01/2020;03:00;20.8;0;99.5;187.1;1.2
26/01/2020;04:00;20.7;0;99.5;172.6;1.2
26/01/2020;05:00;20.7;0;99.5;172.7;0.9
26/01/2020;06:00;20.6;0;99.5;263.6;0.8
26/01/2020;07:00;20.3;0;99.6;195.1;0.8
26/01/2020;08:00;20.1;0;99.6;178.2;0.7
26/01/2020;09:00;21.3;0;99.6;264.3;0.4
26/01/2020;10:00;22.8;0;99.4;314.4;0.8
26/01/2020;11:00;24.6;0;91.9;304.4;1.2
26/01/2020;12:00;25.9;0;83.7;286.6;1.4
26/01/2020;13:00;27.1;0;76.8;306.4;1.9
26/01/2020;14:00;27.3;0;71.12;275.3;1.8
26/01/2020;15:00;26.3;0;78.8;249.3;1.5
26/01/2020;16:00;25.6;0;80.2;270.7;2
26/01/2020;17:00;25.2;0;85.7;272.8;2.3
26/01/2020;18:00;22.7;0;99.4;229.5;2
26/01/2020;19:00;22.1;0;99.5;226.7;1.7
26/01/2020;20:00;22.2;0;99.5;225.3;1.6
26/01/2020;21:00;22;0;99.5;221.4;1.7
26/01/2020;22:00;21.8;0;99.5;221.5;1.2
26/01/2020;23:00;21.6;0;99.5;198.7;1
27/01/2020;00:00;21.4;0;99.5;223.2;1.5
27/01/2020;01:00;21.3;0;99.6;218.8;1.1
27/01/2020;02:00;21;0;99.6;244.3;1.4
27/01/2020;03:00;20.7;0;99.6;228.9;1.2
27/01/2020;04:00;20.8;0.1;99.6;235.7;0.9
27/01/2020;05:00;20.7;0.1;99.6;219.9;0.8
27/01/2020;06:00;20.7;0.1;99.6;239.3;0.9
27/01/2020;07:00;20.7;0.1;99.6;222.6;0.9
27/01/2020;08:00;20.7;0.2;99.6;83.8;0.2
27/01/2020;09:00;20.9;0.1;99.6;243.8;0.6
27/01/2020;10:00;21;0.3;99.6;189.4;0.9
27/01/2020;12:00;23.5;S/D;99.4;183.2;1.1
27/01/2020;13:00;24;0;95.8;214.2;1.1
27/01/2020;14:00;23.7;0;99.4;193;1.7
27/01/2020;15:00;23.5;0;99.4;194.4;1.2
27/01/2020;16:00;22.9;0;99.4;220.1;1.2
27/01/2020;17:00;22.9;0;99.4;227.5;1.6
27/01/2020;18:00;22.6;0;99.4;229.9;1
27/01/2020;19:00;22.6;0;99.5;216.4;1.3
27/01/2020;20:00;22.3;0;99.5;204.9;0.9
27/01/2020;21:00;21.9;0;99.6;232.9;0.9
27/01/2020;22:00;21.5;0;99.6;221.4;0.9
27/01/2020;23:00;21.4;0;99.6;156.1;0.5
28/01/2020;00:00;21.3;0;99.6;87.3;0.2
28/01/2020;01:00;21.4;0;99.6;123.3;0.3
28/01/2020;02:00;21.5;0;99.5;48.36;0
28/01/2020;03:00;22.5;0;99.4;44.41;0.1
28/01/2020;04:00;22;0;99.5;103;0.2
28/01/2020;05:00;21.9;0;99.5;230.6;0.7
28/01/2020;06:00;22;0;99.5;165;0.8
28/01/2020;07:00;22.3;0;99.4;175.1;0.9
28/01/2020;08:00;23.3;0;98.1;177;0.7
28/01/2020;09:00;25.1;0;87.5;207.9;1.1
28/01/2020;10:00;26.8;0;73.75;213.7;1.3
28/01/2020;11:00;26.9;0;73.63;233.9;1.9
28/01/2020;12:00;27.6;0;69.17;216.3;2
28/01/2020;13:00;27.8;0;67.81;262.8;2.3
28/01/2020;14:00;26.8;0;68.76;222.4;2.1
28/01/2020;15:00;26.1;0;74.22;228.6;2.3
28/01/2020;16:00;25.8;0;77.41;203.5;2.4
28/01/2020;17:00;23.7;0;93.5;230.4;1.7
28/01/2020;18:00;23.3;0;95.5;234.2;1.8
28/01/2020;19:00;23;0;99.4;212.8;1
28/01/2020;20:00;22.6;0;99.4;225.1;1.2
28/01/2020;21:00;22.1;0;99.5;226;1.4
28/01/2020;22:00;21.9;0;99.5;195.6;1.1
28/01/2020;23:00;21.8;0;99.5;216.8;1
29/01/2020;00:00;21.7;0;99.5;196.7;1
29/01/2020;01:00;20.9;0;99.6;183.6;1.4
29/01/2020;02:00;20.9;0;99.6;195.7;1.2
29/01/2020;03:00;20.9;0;99.6;174.7;0.8
29/01/2020;04:00;20.7;0;99.6;163.2;0.8
29/01/2020;05:00;20.4;0;99.6;195.2;0.9
29/01/2020;06:00;20.5;0;99.6;179.5;0.8
29/01/2020;07:00;20.7;0;99.6;171.1;0.7
29/01/2020;08:00;22;0;99.6;202.2;1
29/01/2020;09:00;25;0;96.2;283.8;1.8
29/01/2020;10:00;25.6;0;89.4;247.4;1.6
29/01/2020;11:00;27.5;0;76.02;232.7;1.2
29/01/2020;12:00;27.7;0;73.9;276;2.2
29/01/2020;13:00;28.1;0;71.56;279.7;2.3
29/01/2020;14:00;27.3;0;72.34;289.9;2.6
29/01/2020;15:00;28;0;71.78;207.4;2.1
29/01/2020;16:00;27.1;0;76.46;209.4;1.7
29/01/2020;17:00;24.1;0;92.5;223.2;2.2
29/01/2020;18:00;22.8;0;98.6;225.6;1.2
29/01/2020;19:00;21.7;0;99.5;226.5;1.6
29/01/2020;20:00;21.5;0;99.5;231.9;1.6
29/01/2020;21:00;21.5;0;99.5;228.4;1.2
29/01/2020;22:00;21.5;0;99.5;198.5;1
29/01/2020;23:00;21.2;0;99.5;190.3;1
30/01/2020;00:00;21.1;0;99.5;229.2;0.9
30/01/2020;01:00;21.1;0;99.5;191.9;0.5
30/01/2020;02:00;21.2;0;99.5;231.4;0.6
30/01/2020;03:00;21;0;99.5;229.6;0.9
30/01/2020;04:00;20.8;0;99.5;180.8;0.8
30/01/2020;05:00;20.6;0;99.6;202.1;0.7
30/01/2020;06:00;20.6;0;99.6;149.5;0.3
30/01/2020;07:00;20.7;0;99.6;179.2;0.4
30/01/2020;08:00;21.4;0;99.6;150.4;0.5
30/01/2020;09:00;25;0;93.4;225.7;0.6
30/01/2020;10:00;26.5;0;80.7;252.7;1.3
30/01/2020;11:00;26.4;0;77.92;291.4;2.2
30/01/2020;12:00;26.3;0;79.21;307;2.7
30/01/2020;13:00;27.2;0;70.71;230.3;1.8
30/01/2020;14:00;26.6;0;70.19;201;2.5
30/01/2020;15:00;25.6;0;79.6;205.8;2.6
30/01/2020;16:00;23.8;0;94.9;210.6;1.6
30/01/2020;17:00;23;0;99.4;223.7;1.7
30/01/2020;18:00;21.7;0;99.5;237.9;2
30/01/2020;19:00;21.2;0;99.6;241.3;1.7
30/01/2020;20:00;21.3;0;99.6;233.6;1.5
30/01/2020;21:00;21.5;0;99.5;226.1;1.4
30/01/2020;22:00;21.5;0;99.5;206.5;0.9
30/01/2020;23:00;21.5;0;99.5;202.5;0.8
31/01/2020;00:00;21.4;0;99.5;207.6;0.9
31/01/2020;01:00;21.3;0;99.6;187.5;0.5
31/01/2020;02:00;21.4;0;99.5;246.8;0.7
31/01/2020;03:00;21.8;0;99.4;184.3;0.7
31/01/2020;04:00;21.8;0;99.5;235.1;0.7
31/01/2020;05:00;21.6;0;99.5;256.4;0.8
31/01/2020;06:00;21.6;0;99.5;165.6;0.5
31/01/2020;07:00;21.4;0;99.5;265.6;0.7
31/01/2020;08:00;21.3;0;99.5;273;0.8
31/01/2020;09:00;23.9;0;98.8;277;1.2
31/01/2020;10:00;27;0;77.47;272.6;1.7
31/01/2020;11:00;25.7;0;82;273.9;2
31/01/2020;12:00;26.1;0;81.9;268.2;2.1
31/01/2020;13:00;25.2;0;85.5;254.2;2.3
31/01/2020;14:00;25.8;0;85.4;254.7;1.9
31/01/2020;15:00;24.3;0;92;261.2;1.4
